Date;Open;Max;Min;Close
23.05.2018;223,11;224,07;221,00;221,00
24.05.2018;221,91;223,70;221,12;222,01
25.05.2018;222,51;223,48;219,00;220,00
28.05.2018;219,47;221,50;219,20;220,90
29.05.2018;220,50;222,13;217,10;219,00
30.05.2018;219,30;221,55;217,88;221,01
31.05.2018;221,98;224,35;220,00;222,36
01.06.2018;221,50;222,77;220,00;220,00
04.06.2018;221,13;222,67;218,57;220,00
05.06.2018;220,00;220,79;214,51;215,56
06.06.2018;216,00;218,19;214,65;217,90
07.06.2018;218,94;219,45;216,41;216,41
08.06.2018;216,00;217,00;210,25;210,95
13.06.2018;211,23;216,13;209,63;215,00
14.06.2018;214,82;217,49;213,60;214,00
15.06.2018;213,90;215,00;207,90;209,36
18.06.2018;209,00;211,20;205,01;206,30
19.06.2018;204,00;206,77;202,11;206,00
20.06.2018;207,00;212,37;207,00;212,20
21.06.2018;212,25;214,16;208,62;210,40
22.06.2018;211,62;215,00;209,62;214,43
25.06.2018;204,50;206,94;202,51;202,51
26.06.2018;203,64;205,00;199,60;199,91
27.06.2018;201,85;209,33;198,55;207,95
28.06.2018;207,85;210,63;207,01;208,50
29.06.2018;210,10;218,30;210,09;218,00
02.07.2018;217,01;222,83;216,00;221,01
03.07.2018;221,01;222,45;217,10;218,45
04.07.2018;218,23;219,56;216,61;217,70
05.07.2018;217,50;224,54;216,85;224,54
06.07.2018;225,01;227,59;221,61;226,71
09.07.2018;228,50;231,24;228,20;230,00
10.07.2018;230,95;232,25;228,00;230,30
11.07.2018;229,20;229,20;224,80;227,57
12.07.2018;226,76;228,45;225,10;226,60
13.07.2018;227,30;230,86;227,22;229,85
16.07.2018;230,10;231,00;226,42;227,99
17.07.2018;227,00;227,00;220,52;222,50
18.07.2018;222,00;224,00;215,64;216,28
19.07.2018;216,90;217,11;206,56;207,50
20.07.2018;207,77;210,95;201,10;204,34
23.07.2018;205,40;210,40;205,25;208,42
24.07.2018;209,00;215,45;208,92;215,45
25.07.2018;211,00;215,45;208,34;213,70
26.07.2018;215,70;216,51;209,11;210,00
27.07.2018;210,00;211,22;205,58;208,90
30.07.2018;207,77;212,49;206,56;211,33
31.07.2018;211,09;214,94;210,24;214,86
01.08.2018;213,50;215,20;210,57;210,60
02.08.2018;208,54;211,72;205,13;206,60
03.08.2018;206,49;206,55;202,00;202,21
06.08.2018;201,80;205,20;199,57;203,90
07.08.2018;205,19;207,95;201,55;201,79
08.08.2018;201,53;202,45;191,51;193,20
09.08.2018;189,99;195,90;182,06;195,90
10.08.2018;194,00;196,85;183,01;186,15
13.08.2018;182,05;193,39;180,15;190,00
14.08.2018;192,98;195,98;188,20;192,76
15.08.2018;192,35;194,00;186,53;187,98
16.08.2018;189,00;192,28;188,22;191,60
17.08.2018;191,83;192,43;188,59;189,55
20.08.2018;190,99;193,99;190,64;191,20
21.08.2018;192,00;192,34;189,55;191,80
22.08.2018;192,43;193,69;187,56;187,80
23.08.2018;188,44;189,06;178,55;178,71
24.08.2018;178,00;180,39;172,80;180,39
27.08.2018;181,47;183,83;180,52;183,27
28.08.2018;183,35;184,64;181,22;182,00
29.08.2018;182,77;183,85;181,31;183,50
30.08.2018;184,61;185,57;177,25;178,00
31.08.2018;177,61;182,00;175,61;182,00
03.09.2018;181,72;182,87;180,15;181,21
04.09.2018;182,00;182,49;177,71;179,50
05.09.2018;178,50;181,25;178,28;178,46
06.09.2018;177,25;180,18;175,00;175,00
07.09.2018;175,47;177,45;173,85;174,90
10.09.2018;175,03;175,97;169,85;171,21
11.09.2018;171,23;172,67;165,90;169,36
12.09.2018;170,20;175,19;169,40;173,90
13.09.2018;174,50;189,04;174,50;183,50
